artist,song,rank,streams,country,week
Kendrick Lamar,All The Stars (with SZA),3,31352011,global,2018-02-23--2018-03-02
Dua Lipa,IDGAF,4,23715748,global,2018-02-23--2018-03-02
Bazzi,Mine,5,23681960,global,2018-02-23--2018-03-02
The Weeknd,Pray For Me (with Kendrick Lamar),6,22044744,global,2018-02-23--2018-03-02
Marshmello,FRIENDS,7,21497890,global,2018-02-23--2018-03-02
BlocBoy JB,Look Alive (feat. Drake),8,21284619,global,2018-02-23--2018-03-02
Post Malone,rockstar,9,20887230,global,2018-02-23--2018-03-02
Bad Bunny,Amorfoda,10,20012260,global,2018-02-23--2018-03-02
Drake,God's Plan,1,53416337,global,2018-02-16--2018-02-23
Kendrick Lamar,All The Stars (with SZA),2,30168080,global,2018-02-16--2018-02-23
Bazzi,Mine,3,23666856,global,2018-02-16--2018-02-23
